201	25
*SNP-1	B3.7	a,a,ab,a,a,a,a,a,a,ab,ab,ab,ab,a,a,ab,ab,ab,ab,ab,ab,ab,ab,a,a,a,ab,ab,ab,ab,ab,a,a,a,a,a,ab,a,ab,ab,ab,a,ab,ab,ab,a,ab,a,ab,a,a,a,a,a,ab,a,ab,a,a,a,ab,ab,ab,a,ab,a,a,ab,a,ab,ab,ab,ab,ab,ab,a,a,ab,a,ab,ab,a,a,ab,ab,a,ab,ab,a,a,-,ab,ab,ab,a,a,ab,a,ab,ab,a,ab,a,a,a,ab,ab,ab,ab,ab,a,a,ab,ab,ab,a,a,ab,a,ab,a,ab,a,a,ab,ab,ab,ab,a,a,ab,a,a,a,a,ab,ab,a,a,a,ab,ab,a,ab,ab,a,a,a,ab,a,a,a,a,ab,ab,a,a,ab,ab,ab,a,a,a,a,a,ab,ab,ab,a,ab,ab,ab,a,a,a,ab,ab,a,a,a,a,ab,a,ab,ab,a,ab,a,a,a,a,ab,a,ab,a,ab,a,a,ab,a,ab
*SNP-2	B3.7	a,a,ab,a,a,a,a,a,a,ab,ab,ab,ab,a,a,ab,ab,ab,ab,ab,ab,ab,ab,a,a,a,ab,ab,ab,ab,ab,a,a,a,a,a,ab,a,ab,ab,ab,a,ab,ab,ab,a,ab,a,ab,a,a,a,a,a,ab,a,ab,a,a,a,ab,ab,ab,a,ab,a,a,ab,a,ab,ab,ab,ab,ab,ab,a,a,ab,a,ab,ab,a,a,ab,ab,a,ab,ab,a,a,-,ab,ab,ab,a,a,ab,a,ab,ab,a,ab,a,a,a,ab,ab,ab,ab,ab,a,a,ab,ab,ab,a,a,ab,a,ab,a,ab,a,a,ab,ab,ab,ab,a,a,ab,a,a,a,a,ab,ab,a,a,a,ab,a,a,ab,ab,a,a,a,ab,a,a,a,a,ab,ab,a,a,ab,ab,ab,a,a,a,a,a,ab,ab,ab,a,ab,ab,ab,a,a,a,ab,ab,a,a,a,a,ab,a,ab,ab,a,ab,a,a,a,a,ab,a,ab,a,ab,a,a,ab,a,ab
*SNP-3	B3.7	a,a,ab,a,a,a,a,a,a,ab,ab,ab,ab,a,a,ab,ab,ab,ab,ab,ab,ab,ab,a,a,a,ab,ab,ab,ab,ab,a,a,a,a,a,ab,a,ab,ab,ab,a,ab,ab,ab,a,ab,a,ab,a,a,a,a,a,ab,a,ab,a,a,a,ab,ab,ab,a,ab,a,a,ab,a,ab,ab,ab,ab,ab,ab,a,a,a,a,ab,ab,a,a,ab,ab,a,ab,ab,a,a,-,ab,ab,ab,a,a,ab,a,ab,ab,a,ab,a,a,a,ab,ab,ab,ab,ab,a,a,ab,ab,ab,a,a,ab,a,ab,ab,ab,a,a,ab,ab,ab,ab,a,a,ab,a,a,a,a,ab,ab,a,a,a,ab,a,a,ab,ab,a,a,a,ab,ab,a,a,a,ab,ab,a,a,ab,ab,ab,a,a,a,a,a,ab,ab,ab,a,ab,ab,ab,a,a,a,ab,ab,a,a,a,a,ab,a,ab,ab,a,ab,a,a,a,a,ab,a,ab,ab,ab,a,a,ab,a,ab
*SNP-4	B3.7	a,a,ab,a,a,a,a,a,a,ab,ab,ab,ab,a,a,ab,ab,ab,ab,ab,ab,ab,ab,a,a,a,ab,ab,ab,ab,ab,a,a,a,a,a,ab,a,ab,ab,ab,a,ab,ab,ab,a,ab,a,ab,a,a,a,a,a,ab,a,ab,a,a,a,ab,ab,ab,a,ab,a,a,ab,a,ab,ab,ab,ab,ab,ab,a,a,a,a,ab,ab,a,a,ab,ab,a,ab,ab,a,a,a,ab,ab,ab,a,a,ab,a,ab,ab,a,ab,a,a,a,ab,ab,ab,ab,ab,a,a,ab,ab,ab,a,a,ab,a,ab,ab,ab,a,a,ab,ab,ab,ab,a,a,ab,a,a,a,a,ab,ab,a,a,a,ab,a,a,ab,ab,a,a,a,ab,ab,a,a,a,ab,ab,a,a,ab,ab,ab,a,a,a,a,a,ab,ab,ab,a,ab,ab,ab,a,a,a,ab,ab,a,a,a,a,ab,a,ab,ab,a,ab,a,a,a,a,ab,a,ab,ab,ab,a,a,ab,a,ab
*SNP-5	B3.7	a,a,ab,a,a,a,a,a,a,ab,ab,-,ab,a,a,ab,ab,ab,ab,ab,ab,ab,ab,a,a,a,ab,ab,ab,ab,ab,a,a,a,a,a,ab,a,ab,ab,ab,a,ab,ab,ab,a,ab,a,ab,a,a,a,a,a,ab,a,ab,a,a,a,ab,ab,ab,a,ab,a,a,ab,a,ab,ab,ab,ab,ab,ab,a,a,a,a,ab,a,a,a,ab,ab,a,ab,ab,a,a,-,ab,ab,ab,a,a,ab,a,ab,ab,a,ab,a,a,a,ab,ab,ab,ab,ab,a,a,ab,ab,ab,a,a,ab,a,a,ab,ab,a,a,ab,ab,ab,ab,a,a,ab,a,a,a,a,ab,ab,a,a,a,ab,a,a,ab,ab,a,a,a,ab,ab,a,a,a,ab,ab,a,a,ab,ab,ab,a,a,a,a,a,ab,ab,ab,a,ab,ab,ab,a,a,a,ab,ab,a,a,a,a,ab,a,ab,ab,a,ab,a,a,a,a,ab,a,ab,ab,ab,a,a,ab,a,ab
*SNP-6	B3.7	a,a,ab,a,a,a,a,a,a,ab,ab,-,ab,a,a,ab,ab,ab,ab,ab,ab,ab,ab,a,a,a,ab,ab,ab,ab,ab,a,a,a,a,a,ab,a,ab,ab,ab,a,ab,ab,ab,a,ab,a,ab,a,a,a,a,a,ab,a,ab,a,a,a,ab,ab,ab,a,ab,a,a,ab,a,ab,ab,ab,ab,ab,ab,a,a,a,a,ab,a,a,a,ab,ab,a,ab,ab,a,a,a,ab,ab,ab,a,a,ab,a,ab,ab,a,ab,a,a,a,ab,ab,ab,ab,ab,a,a,ab,ab,ab,a,a,ab,a,a,ab,ab,a,a,ab,ab,ab,ab,a,a,ab,a,a,a,a,ab,ab,a,a,a,ab,a,a,ab,ab,a,a,a,ab,ab,a,a,a,ab,ab,a,a,ab,ab,ab,a,a,a,a,a,ab,ab,ab,a,ab,ab,ab,a,a,a,ab,ab,a,a,a,a,ab,a,ab,ab,a,ab,a,a,a,a,ab,a,ab,ab,ab,a,a,ab,a,ab
*SNP-7	B3.7	a,a,ab,a,a,a,a,a,a,ab,ab,ab,ab,a,a,ab,ab,ab,ab,ab,ab,ab,ab,a,a,a,ab,ab,ab,ab,ab,a,a,a,ab,ab,ab,a,ab,ab,ab,a,ab,ab,ab,a,ab,a,ab,a,a,a,a,a,ab,a,ab,a,a,a,ab,ab,a,a,ab,a,a,ab,a,ab,a,ab,ab,ab,ab,a,a,a,a,ab,a,a,a,ab,ab,a,ab,ab,a,a,a,ab,ab,ab,a,a,ab,a,ab,ab,a,ab,a,a,a,ab,ab,ab,ab,ab,a,a,ab,ab,ab,a,a,ab,a,a,ab,ab,a,a,ab,ab,ab,ab,a,a,ab,a,a,a,a,ab,ab,a,a,a,ab,a,a,ab,ab,a,a,a,ab,ab,a,a,a,ab,ab,a,a,ab,ab,ab,a,a,a,a,a,ab,ab,ab,a,ab,ab,ab,a,a,a,ab,ab,a,a,a,a,ab,a,ab,ab,a,ab,a,a,a,a,ab,a,ab,ab,ab,a,a,ab,a,ab
*SNP-8	B3.7	a,a,ab,a,a,a,a,a,a,ab,ab,ab,ab,a,a,ab,ab,ab,ab,ab,ab,ab,ab,a,a,a,ab,ab,ab,ab,ab,a,a,a,ab,ab,ab,a,ab,ab,ab,a,ab,ab,ab,a,ab,a,ab,a,a,a,a,a,ab,a,ab,a,a,a,ab,ab,a,a,ab,a,a,ab,a,ab,a,ab,ab,ab,ab,a,a,a,a,ab,a,a,a,a,ab,a,ab,ab,a,a,a,ab,ab,ab,a,a,ab,ab,ab,ab,a,ab,a,a,a,ab,ab,ab,ab,ab,a,a,ab,ab,ab,a,a,ab,a,a,ab,ab,a,a,ab,ab,ab,ab,a,a,ab,a,a,ab,a,ab,ab,a,a,a,ab,a,a,ab,ab,a,a,a,ab,ab,a,a,a,ab,ab,a,a,ab,ab,ab,a,a,a,a,a,ab,ab,ab,ab,ab,ab,ab,a,a,a,ab,ab,a,a,a,a,ab,a,ab,ab,a,ab,a,a,a,a,ab,a,ab,ab,ab,a,a,ab,a,ab
*SNP-9	B3.7	a,a,ab,a,a,a,a,a,a,ab,ab,ab,ab,a,a,ab,ab,ab,ab,ab,ab,ab,ab,a,a,a,ab,ab,ab,ab,ab,a,a,a,a,a,ab,a,ab,ab,ab,a,ab,ab,ab,a,ab,a,ab,a,a,a,a,a,ab,a,ab,a,a,a,ab,ab,a,a,ab,a,a,ab,a,ab,a,ab,ab,ab,ab,a,a,a,a,ab,a,a,a,a,ab,a,ab,ab,a,a,a,ab,ab,ab,a,a,ab,ab,ab,ab,a,ab,a,a,a,ab,ab,ab,ab,ab,a,a,ab,ab,ab,a,a,ab,a,a,ab,ab,a,a,ab,ab,ab,ab,a,a,ab,a,a,ab,a,ab,ab,a,a,a,ab,a,a,ab,ab,a,a,a,ab,ab,a,a,a,ab,a,a,a,ab,ab,ab,a,a,a,a,a,ab,ab,ab,ab,ab,ab,ab,a,a,a,ab,ab,a,a,a,a,ab,a,ab,ab,a,ab,a,a,a,a,ab,ab,ab,ab,ab,a,a,ab,a,ab
*SNP-10	B3.7	a,a,ab,a,a,a,a,a,a,ab,ab,ab,ab,a,a,ab,ab,ab,ab,ab,ab,ab,ab,a,a,a,ab,ab,ab,ab,ab,a,a,a,a,a,ab,a,ab,ab,ab,a,ab,ab,ab,a,ab,a,ab,a,a,a,a,a,ab,a,ab,a,a,a,ab,ab,a,a,ab,a,a,ab,a,ab,a,ab,ab,ab,ab,a,a,a,a,ab,a,a,a,a,ab,a,ab,ab,a,a,-,ab,ab,ab,a,a,ab,ab,ab,ab,a,ab,a,a,a,ab,ab,ab,ab,ab,a,a,ab,ab,ab,a,a,ab,a,a,ab,ab,a,a,ab,ab,ab,ab,a,a,ab,a,a,ab,a,ab,ab,a,a,a,ab,a,a,ab,ab,a,a,a,ab,ab,a,a,a,ab,a,a,a,ab,ab,ab,a,a,a,a,ab,ab,ab,ab,ab,ab,ab,ab,a,a,a,ab,ab,a,a,a,a,ab,a,ab,ab,a,ab,a,a,a,a,ab,ab,ab,ab,ab,a,a,ab,a,ab
